date,volume,open,high,low,close,adjusted_close
2026-06-02,38707885,62.85,62.9,61.6,62.7,62.7
2026-06-03,23456486,63.55,63.75,63.2,63.6,63.6
2026-06-04,37835752,63.0,63.1,62.3,62.3,62.3
2026-06-05,47085844,61.6,61.85,60.3,61.0,61.0
2026-06-08,72781356,57.25,59.25,57.25,58.85,58.85
2026-06-09,20249672,59.5,60.3,59.05,60.15,60.15
2026-06-10,46858320,59.5,59.9,58.25,58.25,58.25
2026-06-11,41628656,57.95,58.6,56.8,58.15,58.15
2026-06-12,19610918,60.0,60.25,59.3,59.6,59.6
2026-06-15,31567997,61.35,61.6,60.9,61.6,61.6
2026-06-16,24352613,61.95,61.95,61.25,61.85,61.85
2026-06-17,26888610,61.2,62.15,61.05,62.15,62.15
2026-06-18,25192808,62.6,62.9,62.35,62.8,62.8
2026-06-22,46591322,64.25,65.55,64.25,65.25,65.25
2026-06-23,32097183,65.8,66.0,64.6,64.6,64.6
2026-06-24,48847758,63.15,63.5,62.4,63.05,63.05
2026-06-25,22202202,63.65,63.65,62.5,63.0,63.0
2026-06-26,51417349,62.0,62.3,60.5,60.6,60.6
2026-06-29,24098322,60.85,61.9,60.75,61.35,61.35
2026-06-30,28185476,62.95,63.7,62.85,63.35,63.35
2026-07-01,26053339,64.65,64.8,63.9,64.4,64.4
2026-07-02,26902473,63.0,64.2,62.95,64.1,64.1
2026-07-03,29828434,62.5,63.85,62.4,63.55,63.55
2026-07-06,16521834,63.95,64.4,63.2,63.55,63.55
2026-07-07,24464406,63.8,64.0,62.05,62.2,62.2
2026-07-08,22537887,62.3,62.55,61.45,62.15,62.15
2026-07-09,18161683,62.3,62.7,61.85,62.0,62.0
2026-07-13,24847266,62.3,62.95,61.8,62.1,62.1
2026-07-14,38947848,61.6,61.8,59.85,61.15,61.15
2026-07-15,18375422,61.45,62.35,61.1,62.25,62.25
2026-07-16,17870324,61.75,62.45,61.1,62.2,62.2
2026-07-17,66848132,59.75,60.15,57.9,57.9,57.9
2026-07-20,38675342,58.3,58.4,57.1,57.6,57.6
2026-07-21,30090838,58.3,60.3,58.3,60.3,60.3
2026-07-22,22694690,61.3,61.45,60.35,60.6,60.6
2026-07-23,13157819,60.95,61.15,60.25,60.9,60.9
2026-07-24,28851027,59.9,60.3,59.3,59.5,59.5
2026-07-27,16021621,59.2,59.45,58.5,59.3,59.3
2026-07-28,40995190,57.3,57.5,56.6,56.65,56.65
2026-07-29,63119428,56.6,56.6,53.35,54.4,54.4
2026-07-30,34926028,53.8,55.85,53.5,54.3,54.3
2026-07-31,73521887,58.3,59.7,58.25,59.7,59.7
2026-08-03,20463052,58.8,59.8,58.55,59.15,59.15
2026-08-04,30596726,58.8,59.6,58.2,58.65,58.65
2026-08-05,40325712,60.7,61.3,60.2,60.65,60.65
2026-08-06,16265978,60.2,60.6,59.85,60.45,60.45
2026-08-07,24490891,60.65,60.75,59.65,60.2,60.2
2026-08-10,19177147,60.75,61.25,60.6,60.95,60.95
2026-08-11,13041360,60.6,61.2,60.2,61.05,61.05
2026-08-12,17052528,61.3,61.65,61.1,61.5,61.5
2026-08-13,20437587,62.5,62.7,62.1,62.4,62.4
2026-08-14,28112743,62.7,62.8,61.85,61.95,61.95
